IdProduto;Produto;TipoDeProduto;GrupoDeProdutos;FamiliaDeProdutos
1300000625;PINO SUPERIOR LATERAL PLACA;;;
1300001531;CONGELADOR PORTÃTIL SIMPLES;;;
1300002423;MONITOR LCD 15";;;
1300002435;MOUSE C/ CABO;;;
1400000112;Servico de Consultoria e Assessoria;;;
1400000117;Servico de Conserto - Mc Entrega;;;
1500000260;CARTUCHO DE TINTA HP DESKJET - HP C 6625A - COLOR - 15 ML;;;
1500002786;TECLADO USB MULTIMIDIA PT 606123;;;
1500002801;TECLADO STANDARD USB PRETO;;;
1500002955;MODULO GAVETEIRO MG21M MENNO;;;
1600000439;Calendario de Manutencao;;;
2400000015;PROJETO DE ARQUITETURA;;;
2400000082;CPU INTEL 2.4 GHZ,256MBRAM,40GB,WINDOWS XP;;;
2400000093;GRAPHICS CARD;;;
2400000128;VGA SPLITER P/ MONITORES DE EXP,SUPORTES E CABOS MON.;;;
2400000152;SENSOR INFRA VERMELHO;;;
2400000173;IMPRESSORA GRILL REAL POS 7197;;;
2400000496;MAQUINA SUCO DE LARANJA QUANTUM;;;
2400000856;TRANSPORTE DE EQUIPAMENTOS;;;
2400001367;ADAPTADOR USB COM SAIDA SERIAL E PARALELA;;;
2400001406;HP JetDirect 175X;;;
2400001417;SOFTWARE DE ACESSO;;;
2400001428;CPU- DESK TPOP 2.8 GHZ,512 MB,HD 40 GB,MOUSE,TECLADO,CDROM 48 X,FLOPPY 31/2,REDE 10/100/1000,WINDOWS XP PRO, (Break);;;
2400001524;MONITOR SAMSUNG 15" 540N SILVER;;;
2400001570;HP LASERJET 2014;;;
2400001592;Monitor SamSung LCD 17";;;
2400001650;MONITOR 18,5" LCD - SAMSUNG;;;
SPED325414152;CTKF001 - CT KEY FOB;;;
SPED325414153;CTK1P003 - CT200 FIXED 30 DEGREE 5;;;
SPED325414154;CTK1M001-W CT200 TABLET FRAME 10;;;
SPED325414155;CTK1MP007-W CT200 COVER AND INSERT SAMSU;;;
SPED325414156;PS415 CABLE USB TO MICRO USB 3M;;;
SPED325414252;LicenÃ§a Think Client 3,41;;;
SPED325414253;Soporte Think Client - VESA;;;
SPED325414322;LicenÃ§a Think Client 3,61;;;
SPED325636061;Suporte de campo;;;
SPED325756932;Despesas c/ fretes e carretos;;;
1300000121;EDIFÃCIOS;;;
1300002301;CAMISA SOCIAL M/C FIL A FIL - 7;;;
1500000770;ETIQ INK/LAS MAXPRINT 6189 16,93X44,45 100 4C;;;
1600000151;CABO DE FIXACAO DE GUIA REMOVIVEL;;;
1600000417;ADESIVOS PORTA GUARDANAPOS;;;
2300000153;Competicao entre lojas - ALL STAR;;;
2400000083;CPU ITONA;;;
2400000109;"MONITOR TOUCH 17""C/ LEITOR DE CARTÃES/DISPLAY CLIENTE";;;
2400000209;CABO POLARIZADO;;;
2400001102;SUPORTE DUPLO PARA ETIQUETAS DE ESPECIAIS;;;
2400001469;HD 146 GB;;;
2400001564;Monitor 17" LCD MPR2 L1753T;;;
SPED323824251;Catalyst 2960C WS-C2960CPD-8TT-L;;;
SPED323824441;Bump Bar;;;
SPED323824471;NCR Impressora 7197 NÃ£o Fiscal;;;
SPED323824532;CTKF001 - CT KEY FOB;;;
SPED323824533;CTK1P003 - CT200 FIXED 30 DEGREE 5;;;
SPED323824534;CTK1M001-W CT200 TABLET FRAME 10;;;
SPED323824535;CTK1MP007-W CT200 COVER AND INSERT SAMSU;;;
SPED323824682;SUPORTE;;;
SPED323824683;COLD;;;
SPED323824684;ADESIVO;;;
SPED323995571;Monitores Dual Point 10";;;
SPED323995662;LicenÃ§a Think Client 3,41;;;
SPED323995741;Monitores;;;
SPED323995761;Monitores 32" Samsung;;;
SPED323995812;LicenÃ§a Think Client 3,21;;;
SPED324037103;Soporte Think Client - VESA;;;
1000004353;CARTAO GRAFICO COM IMPRESSÃO;;;
1600000381;ADESIVO - MESA DE MONTAGEM DO DRIVE;;;
2300000194;AVENTAL;;;
2400001180;TOTAL - ROAD SIGN 6.0 C/ POSTE DE 9 METROS;;;
2400001395;MONITOR LG 15" L1553S;;;
2400001396;NOBREAK APC 600 VA 110V;;;
2400001434;Monitor HP Maquina SalÃ£o;;;
SPED321877291;SERVIÃOS EM EQUIPAMENTOS E ELETRONICOS;;;
SPED321941542;LicenÃ§a Think Client 3,21;;;
SPED321941543;Soporte Think Client - VESA;;;
SPED321942282;Bump Bar;;;
SPED321942283;POS;;;
SPED322045221;Consultoria;;;
SPED322189692;NGK double;;;
SPED322189764;SAT SWEDA SS-1000;;;
SPED322189811;Monitores Dual Point 10";;;
1300000120;MANUTENÃÃO DE EQUIPAMENTOS DE INFORMÃTICA;;;
1300003272;PROTETOR DE LACRE IMPRESSORA NCR;;;
2400000015S;PROJETO DE ARQUITETURA;;;
2400000917;GAVETA C/ 1 DIVISOR E 1/2 TAMPA;;;
2400001580;MAQUINA DE CAFE;;;
SPED320440391;IMPRESSORA FISCAL ST 200 SW031200000000031216;;;
SPED320440441;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC030800000000002157;;;
SPED320440471;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031100000000005879;;;
SPED320440501;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC030900000000003548;;;
SPED320440531;IMPRESSORA FISCAL ST 200 SW031400000000054375;;;
SPED320440561;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC030800000000002565;;;
SPED320440581;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031200000000007580;;;
1400000112S;Servico de Consultoria e Assessoria;;;
1600000351;Material de Festa;;;
2400000108;"MONITOR LG 15""LS 1550S";;;
2400000445;KIT 45;;;
2400001075;"REFRIGERADOR BEVERAGE COM ALTURA ESPECIAL (788 mm) - rodÃ­zio de 2""";;;
2400001185;APARELHO DE SOM;;;
2400001435;HP ML110G3 P3.2 2M NHP-SCSI BR Svr,HP 36GB 15K Ultra320 NHP Hard Drive, MS Windows 2003 Svr Std Ed NPI FIO LTU,Mouse,Teclado,HP Install ProLiant ML110 Service,HP 3y 4h 13x5 ProLiant ML110 HW Support.;;;
2400001633;NOTEBOOK TP R61i;;;
2400001656;REALPOS 70 XRT - NCR;;;
2500001082;DIOXIDO DE CARBONO P/CARBONATACAO DE REFRIGERANTE;;;
SPED318311951;IMPRESSORA TERMICA MP-4200 STANDARD BRASIL BE111510101110003404;;;
SPED318312011;IMPRESSORA TERMICA MP-4200 STANDARD BRASIL BE111510101110003460;;;
SPED318312141;IMPRESSORA TERMICA MP-4200 STANDARD BRASIL BE111510101110003438;;;
SPED318312301;IMPRESSORA TERMICA MP-4200 STANDARD BRASIL BE111510101110003610;;;
SPED318312401;IMPRESSORA TERMICA MP-4200 STANDARD BRASIL BE111510101110003517;;;
SPED318312441;IMPRESSORA TERMICA MP-4200 STANDARD BRASIL BE111510101110003407;;;
SPED318312501;IMPRESSORA TERMICA MP-4200 STANDARD BRASIL BE111510101110003457;;;
SPED318316341;IMPRESSORA TERMICA MP-4200 STANDARD BRASIL BE111510101110003486;;;
SPED318317311;IMPRESSORA TERMICA MP-4200 STANDARD BRASIL BE111510101110003456;;;
SPED318317351;SAT SWEDA SS-1000, MODELO 101105 000213333-43;;;
SPED318320641;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031000000000004620;;;
SPED318321131;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031000000000004624;;;
SPED318321331;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031000000000004625;;;
SPED318321511;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031000000000004557;;;
SPED318321521;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC030900000000003471;;;
SPED318321571;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031000000000004559;;;
SPED318321601;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031100000000005670;;;
SPED318321641;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031100000000005650;;;
SPED318321661;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031000000000004558;;;
SPED318321691;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031100000000005647;;;
SPED318321711;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031000000000004555;;;
SPED318321781;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031200000000007385;;;
SPED318321831;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031100000000005651;;;
SPED318321851;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031200000000007002;;;
SPED318321871;IMPRESSORA FISCAL ST 200 SW031500000000064333;;;
SPED318321921;IMPRESSORA FISCAL ST 200 SW031500000000064325;;;
SPED318323981;IMPRESSORA FISCAL NCR ECF IF7197 256MB NC031000000000004553;;;
SPED318325951;IMPRESSORA FISCAL ST 200 SW031400000000049772;;;
SPED318326081;IMPRESSORA FISCAL ST 200 SW031300000000035262;;;
SPED318326181;IMPRESSORA FISCAL NCR ECF IF7197 256MB SERIE - NC031100000000005614;;;
SPED318326241;IMPRESSORA FISCAL NCR ECF IF7197 256MB SERIE - NC031100000000005635;;;
SPED318326311;IMPRESSORA FISCAL NCR ECF IF7197 256MB SERIE- NC031100000000005678;;;
SPED318326411;IMPRESSORA FISCAL ST 200 SW031300000000041558;;;
SPED318326511;IMPRESSORA FISCAL NCR ECF IF7197 256MB SERIE-NC030900000000003969;;;
1500002560;BATERIA 1.5V LR44 ALCALINA C/01 UNIDADE;;;
1500002804;TECLADO USB MULTIMIDIA PT 605639;;;
2400000060;SERVIÃOS DE MÃO DE OBRA;;;
2400000094;HARD DISK SATA 80GB 7200 RPM.;;;
2400000165;WINDOWS XP PRO;;;
2400000406;GAVETA C/ 2 DIVISORES;;;
2400000789;Suporte p/ impressora de grill com base (mesa preparaÃ§Ã£o);;;
2400001436;ServiÃ§o Garantia servidores;;;
2400001548;No Break 2,2 Kva 230V - APC;;;
2400001651;MONITOR 18,5" LCD Multimidia - AOC;;;
2400001658;Teclado 107T ABNT c/ LCM tr2 McEntrega;;;
SPED332876102;BUMP BAR;;;
SPED332876142;SAT SWEDA;;;
SPED332876232;CTKF001 - CT KEY FOB;;;
SPED332876233;CTK1P003 - CT200 FIXED 30 DEGREE 5;;;
SPED332876234;CTK1M001-W CT200 TABLET FRAME 10;;;
SPED332876235;CTK1MP007-W CT200 COVER AND INSERT SAMSU;;;
SPED332888401;SERVIÃOS EM EQUIPAMENTOS E ELETRONICOS;;;
1000000102;MOLHO NUGGETS TERIYAKI;;;
1300000694;ESTUFAS;;;
1300000698;MAQUINAS DE SORVETE;;;
1300001216;ESTUFAS;;;
1400000103;Servicos de Recargas/Inspecao de Extintores;;;
1400000136;CONSULTORES DE INFORMATICA;;;
1600000437;Material para McEntrega;;;
1600000507;Materias de ReposiÃ§Ã£o P/ BalÃ§Ã£o(Ex: Bandeijas, Porta Canudos, Porta Guardanapos, Tampa p/Gaveta Guardanapos, ETC);;;
2300000161;Despesas com Convencoes;;;
2400000077;CONJUNTOS DE POS (CPU, TOUCH COM DISPLAY CLIENTE, GAVETA);;;
2400000087;DESKJET 600;;;
2400000291;CONGELADOR PORTATIL SIMPLES 220V;;;
2400000342;DISPLAY DA ESTUFA;;;
2400000490;MAQUINA DE GELO MG 120;;;
2400001261;INSTALAÃÃO DE 2 SUPORTES DE MONITORES LCD - ESTUFA E EXPEDIÃÃO.;;;
2400001374;CPU - DESKTOP DC5700 3.2 GHZ, 1.0 GB,HD 80 GB,MOUSE, TECLADO,CD-RW / DVD,REDE 10/100/1000, WINDOWS XP PRO;;;
2400001377;IMPRESSORA BUSINESS INKJET 1200D;;;
2400001543S;2400001543;;;
2400001986;Conjunt Prate 1220x457x1800c/4 zinco+epo;;;
SPED329174072;NGK double;;;
SPED329174282;IR829GW-LTE-GA-ZK9 - 3,00;;;
SPED329174302;LicenÃ§a Think Client 3,61;;;
SPED329260752;WS-C2960CPD-8TT-L - 3,00;;;
1000000283;QUEIJO FATIADO;;;
1000000284;MCMIX PACOCA;;;
1000000285;MOSTARDA POUCH;;;
1000000289;MOSTARDA SACHET;;;
1000000291;MOLHO BIG MAC;;;
1000000429;PAO BIG MAC SECO;;;
1000000438;PAO TASTY SECO;;;
1000000442;PAO REGULAR SECO;;;
1000000444;PAO QUARTERAO SECO;;;
1000000452;PAO INTEGRAL SECO;;;
1000000599;BIJU BAUNILHA WAFER;;;
1000000621;CROISSANT FSB CHOCOLATE;;;
1000000626;PAO DE QUEIJO 45GR FSB;;;
1000000706;MOLHO CHEDDAR;;;
1000000891;TAMPA REFRIGERANTE 330 ML;;;
1000000893;EMBALAGEM BATATA PEQUENA;;;
1000000949;SUPORTE DRIVE THRU 4 COPOS;;;
1000000960;TAMPA REFRIGERANTE 550 ML;;;
1000000967;COPO SUNDAE;;;
1000000969;COLHER SWEET;;;
1000001052;COLHER MC FLURRY;;;
1000001063;EMBALAGEM MC CHICKEN;;;
1000001067;TAMPA REFRIGERANTE 770 ML;;;
1000001099;EMBALAGEM BATATA MEDIA;;;
1000001236;HMB GENERICO;;;
1000001758;CEBOLA DESIDRATADA;;;
1000001776;CEBOLA PICADA;;;
1000001821;PAO REGULAR SECO;;;
1000001822;PAO QUARTERAO SECO;;;
1000001823;PAO INTEGRAL SECO;;;
1000001824;PAO BIG MAC SECO;;;
1000002181;PAO AREPA CX;;;
1000002215;CROISSANT PRES/QUEIJO MCCAFE;;;
1000002314;PAO TASTY CONG MB;;;
1000002386;Saco Mc Nuggets c 4;;;
1000002387;LÃ¢mina GenÃ©rica CB / HB;;;
1000002541;MOLHO NUGGETS CAIPIRA;;;
1000002543;MOLHO NUGGETS SWEET & SOUR;;;
1000002824;SAL E PIMENTA;;;
1000002854;LAMINA UHC;;;
1000002920;COLHER TOP SUNDAE (ITA);;;
1000002921;COLHER SUNDAE CX C/ 2000UN;;;
1000003049;EMBALAGEM KIDS SIZE FRIES;;;
1000003107;CONDIMENTO ANGUS;;;
1000003130;TOMATE CAPRESE;;;
1000003137;ALFACE AMERICANA EM TIRAS;;;
1000003241;MCD FRITURA-OLEO REF. MISTO;;;
1000003266;CASCAO MCD 240 UNIDS;;;
1000003349;TAMPA 550 ML CBB;;;
1000003559;TOMATE;;;
1000003577;MCFRITAS MCCAIN PAT IMPT;;;
1000003589;MOLHO RANCH;;;
1000003800;TORTA MACA CX COM 112 UNIDS;;;
1000003801;TORTA BANANA CX COM 112 UNIDS;;;
1000003910;KETCHUP SACHET 8G;;;
1000003937;GUARDANAPO FOLHA DUPLA;;;
1000003983;COPO CORTESIA;;;
1000004023;CASQUINHA BDJ MCD 648 UNIDS;;;
1000004036;MEXEDOR NACIONAL;;;
1000004272;MOLHO ROASTED CHICKEM;;;
1000004307;COPO 200 ML REGULAR MCCAFE NA;;;
1000004362;GUARDANAPO CASQUINHA;;;
1000004415;PRATO REFEIÃAO PAT;;;
1000004416;VINAGRE VINHO MCDON 240UN/10ML;;;
1000004428;AZEITE DE OLIVA MCDEON 120/20ML;;;
1000004444;ACUCAR SACHET 504UNID 6G;;;
1000004481;AZEITE SACHET PAT;;;
1000004490;MOLHO TARTARO;;;
1000004546;OVO BRANCO GRANDE;;;
1000004549;CARNE SADIA MCCHICKEN;;;
1000004574;CEBOLA FRITA EMPANADA;;;
1000004606;LAMINA BAND SUST AGUA;;;
1000004629;CONJUNTO GARFO E FACA EMBALADOS;;;
1000004659;PAPEL TOALHA INTERFOLHADO CMPC;;;
1000004691;COPO PLAS 550ML DYNAMIC 900UN;;;
1000004699;CEBOLA CARAMELIZADA AO MOLHO;;;
1000004701;SACO ZIP MC FLURRY;;;
1000004702;GOTA CHOC LEITE KOP 2 BAGS 3KG;;;
1000004733;COPO REFRI 770ML DYNAMIC;;;
1000004734;COPO REFRI 550ML DYNAMIC;;;
1000004735;COPO REFRI 330ML DYNAMIC;;;
1000004753;SACO C DYNAMIC;;;
1000004754;SACO A DYNAMIC;;;
1000004755;SACO B DYNAMIC;;;
1000004819;COPO PLAS 440ML DYNAMIC 900UN;;;
1000004844;EMBALAGEM SIGNATURE DRIVE THRU 600UN;;;
1000004873;HAMBURGUER BOVINO 5.1 - 18KG;;;
1000004913;LAMINA SAND GENERICA 3000UN;;;
1000004915;LAMINA SANDUICHE 4IN 1300UN;;;
1000004938;CONC LARANJA REFRIGERADO 8UN;;;
1000004942;LAMINA BAND MILK-SHAKE 4.000un;;;
1000004977;MOLHO SWEET BARBECUE 16P 0.5KG;;;
1000005015;MINI BRONIE 30UND;;;
1000005081;COPO TOP SUNDAE 1400UN;;;
1000005129;USO E CONSUMO;;;
1000005164;Banana Prata Indiv. Cx 7,5kg;;;
1000005166;MOLHO PAT CAESAR 180U/18G;;;
1000005168;COBERTURA CHOCOLATE 6 X 2.5KG;;;
1000005186;BACON 4.00MM CONG. BRF - 15 KG;;;
1000005187;QUEIJO MUSSARELA 16X1 135KG;;;
1000005189;QUEIJO EMENTAL FATIADO 1280UN;;;
1000005208;EMB BATATA MEDIA DYNAMIC 1600U;;;
1000005209;CEBOLA MOLHO SHOYU 12X1,05KG;;;
1000005211;EMB BATATA GRANDE DYNAMIC 1600U;;;
1000005212;EMB BIG MAC DYNAMIC 600UN;;;
1000005213;EMB NUGGETS 10UN DYNAMIC 400UN;;;
1000005214;EMB BIG TASTY DYNAMIC 600UN;;;
1000005217;EMB CHEDDAR DYNAMIC 600UN;;;
1000005218;EMB QUARTERAO DYNAMIC 600UN;;;
1000005219;EMB MCCHICKEM DYNAMIC 600UN;;;
1000005220;EMB MCNIFICO DYNAMIC 600UN;;;
1000005221;TANGERINA MURCOTE - 10KG;;;
1000005223;TIRAS DE ALFACE AMERICANA 12 KG;;;
1000005224;FEIJÃO PRETO 8X1,5G PAT;;;
1000005225;FEIJÃO CARIOQUINHA 8X1,5G PAT;;;
1000005232;COBERTURA DE CARAMELO 12UN;;;
1000005233;OVOMALTINE FLOCOS 5MM 12X750;;;
1000005249;EMBALAGEM BATATA RUSTICA 600UN;;;
1000005251;CARNE REGULAR - MB;;;
1000005252;CARNE QUARTERAO - MB;;;
1000005254;CARNE MCNUGGETS MB CX C/ 846 UNIDS;;;
1000005255;CARNE BIG TASTY - MB;;;
1000005256;FILET-O-FISH MB;;;
1000005257;CARNE VALUE CHICKEN - MB;;;
1000005262;GRILL PREMIUM FILE;;;
1000005266;ARROZ TIPO 1 FARDO C/ 10 PACOTES DE 1KG;;;
1000005268;COBERTURA MORANGO -12X1,250KG CX C/ 12 POUCHES DE 1250 KG;;;
1000005271;DANONINHO PETIT SUISSE 42,5G CX C/ 144 UNDS;;;
1000005288;HAMBURGUER JBS REGULAR CX C/ 384UN DE 44GRS;;;
1000005289;HAMBURGUER QUARTERAO JBS CX C/ 120 UNID;;;
1000005297;TOMATE 12D;;;
1000005298;CENOURA 12D;;;
1000005305;OVOS DE CODORNA 5X250GR;;;
1000005306;ALFACE CRESPA FOLHA;;;
1000005307;MIX FOLHAS;;;
1000005312;KETCHUP POUCH 16X 1,15KG - SP;;;
1000005314;MOLHO MAIONESE - LOW OIL (TUBO);;;
1000005315;MOLHO NUGGETS BARBECUE - 144UN/28,3G - BBQ;;;
1000005318;SAL IODADO - CISNE;;;
1000005319;SAL SACHET (STICK);;;
1000005334;CANUDO SUPER VERMELHO CX C/ 3000 UND;;;
1000005335;CANUDO EMBALADO CX C/ 3000 UND;;;
1000005338;BEB LACTEA POL BAUNILHA PAST.;;;
1000005339;BEB LACTEA POL CHOCOLATE PAST;;;
1000005340;QUEIJO EMENTAL;;;
1000005353;SELETA DE LEGUMES L.V. 2X250GR CX C/ 36 PCTES DE 250GR;;;
1000005354;BETERRABA VAPZA 32X250 GR;;;
1000005355;QUEIJO RALADO GRO FAIXA AZUL CX C/ 50 PCTS DE 80 GR;;;
1000005356;MARGARINA MIX VIGOR C/SAL CX C/ 12 PTES DE 500GRS CADA;;;
1000005358;PAO QUARTERAO CONG - MB;;;
